age,workclass,education,marital-status,occupation,relationship,gender,native-country,income
25,Private,11th,Never-married,Machine-op-inspct,Own-child,Male,United-States,<=50K
38,Private,HS-grad,Married-civ-spouse,Farming-fishing,Husband,Male,United-States,<=50K
28,Local-gov,Assoc-acdm,Married-civ-spouse,Protective-serv,Husband,Male,United-States,>50K
44,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,Male,United-States,>50K
34,Private,10th,Never-married,Other-service,Not-in-family,Male,United-States,<=50K
63,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,Male,United-States,>50K
24,Private,Some-college,Never-married,Other-service,Unmarried,Female,United-States,<=50K
55,Private,7th-8th,Married-civ-spouse,Craft-repair,Husband,Male,United-States,<=50K
65,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,Male,United-States,>50K
36,Federal-gov,Bachelors,Married-civ-spouse,Adm-clerical,Husband,Male,United-States,<=50K
26,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,Female,United-States,<=50K
48,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,Male,United-States,>50K
43,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,Male,United-States,>50K
20,State-gov,Some-college,Never-married,Other-service,Own-child,Male,United-States,<=50K
43,Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,Female,United-States,<=50K
37,Private,HS-grad,Widowed,Machine-op-inspct,Unmarried,Female,United-States,<=50K
34,Private,Bachelors,Married-civ-spouse,Tech-support,Husband,Male,United-States,>50K
34,Private,Some-college,Never-married,Other-service,Own-child,Female,United-States,<=50K
25,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,Male,Peru,<=50K
25,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,Male,United-States,<=50K
45,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,United-States,>50K
22,Private,HS-grad,Never-married,Adm-clerical,Own-child,Male,United-States,<=50K
23,Private,HS-grad,Separated,Machine-op-inspct,Unmarried,Male,United-States,<=50K
54,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,United-States,<=50K
32,Self-emp-not-inc,Some-college,Never-married,Prof-specialty,Not-in-family,Male,United-States,<=50K
46,State-gov,Some-college,Married-civ-spouse,Exec-managerial,Husband,Male,United-States,>50K
56,Self-emp-not-inc,11th,Widowed,Other-service,Unmarried,Female,United-States,<=50K
24,Self-emp-not-inc,Bachelors,Never-married,Sales,Not-in-family,Male,United-States,<=50K
23,Local-gov,Some-college,Married-civ-spouse,Protective-serv,Husband,Male,United-States,<=50K
26,Private,HS-grad,Divorced,Exec-managerial,Unmarried,Female,United-States,<=50K
36,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,Male,United-States,>50K
22,Private,5th-6th,Never-married,Priv-house-serv,Not-in-family,Male,Guatemala,<=50K
17,Private,10th,Never-married,Machine-op-inspct,Not-in-family,Male,United-States,<=50K
20,Private,HS-grad,Never-married,Craft-repair,Own-child,Male,United-States,<=50K
65,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,Male,United-States,>50K
44,Self-emp-inc,Assoc-voc,Married-civ-spouse,Sales,Husband,Male,United-States,>50K
36,Private,HS-grad,Married-civ-spouse,Farming-fishing,Husband,Male,United-States,<=50K
29,Private,11th,Married-civ-spouse,Other-service,Husband,Male,United-States,<=50K
20,State-gov,Some-college,Never-married,Farming-fishing,Own-child,Male,United-States,<=50K
28,Private,Assoc-voc,Married-civ-spouse,Prof-specialty,Wife,Female,United-States,>50K
39,Private,7th-8th,Married-civ-spouse,Craft-repair,Husband,Male,Mexico,<=50K
54,Private,Some-college,Married-civ-spouse,Transport-moving,Husband,Male,United-States,<=50K
52,Private,11th,Separated,Priv-house-serv,Not-in-family,Female,United-States,<=50K
56,Self-emp-inc,HS-grad,Widowed,Exec-managerial,Not-in-family,Female,United-States,<=50K
18,Private,Some-college,Never-married,Other-service,Own-child,Male,United-States,<=50K
39,Private,HS-grad,Divorced,Handlers-cleaners,Own-child,Male,United-States,<=50K
21,Private,Some-college,Never-married,Other-service,Own-child,Female,United-States,<=50K
22,Private,HS-grad,Never-married,Other-service,Not-in-family,Male,United-States,>50K
38,Private,9th,Married-spouse-absent,Exec-managerial,Not-in-family,Male,Mexico,<=50K
21,Private,Some-college,Never-married,Adm-clerical,Own-child,Female,United-States,<=50K
63,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,United-States,<=50K
34,Local-gov,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Male,United-States,>50K
42,Self-emp-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,Male,United-States,>50K
33,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,Male,United-States,<=50K
30,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,Female,United-States,<=50K
39,Private,Some-college,Divorced,Sales,Not-in-family,Male,United-States,<=50K
26,Private,Masters,Never-married,Exec-managerial,Not-in-family,Female,United-States,<=50K
33,Private,HS-grad,Never-married,Machine-op-inspct,Own-child,Female,United-States,<=50K
47,Local-gov,HS-grad,Divorced,Adm-clerical,Not-in-family,Female,United-States,<=50K
41,Self-emp-inc,Assoc-acdm,Married-civ-spouse,Craft-repair,Husband,Male,United-States,>50K
19,Private,Some-college,Never-married,Other-service,Own-child,Male,United-States,<=50K
46,Private,HS-grad,Separated,Transport-moving,Not-in-family,Male,United-States,<=50K
43,Private,HS-grad,Married-civ-spouse,Sales,Husband,Male,United-States,<=50K
55,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,Male,United-States,>50K
46,Private,Assoc-voc,Married-civ-spouse,Tech-support,Husband,Male,United-States,<=50K
30,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,Male,Mexico,<=50K
21,Private,Some-college,Separated,Handlers-cleaners,Not-in-family,Female,United-States,<=50K
46,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,Male,Dominican-Republic,<=50K
41,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,Male,United-States,<=50K
69,Self-emp-inc,HS-grad,Married-civ-spouse,Sales,Husband,Male,United-States,<=50K
50,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,Male,United-States,<=50K
20,Private,Some-college,Never-married,Adm-clerical,Not-in-family,Female,United-States,<=50K
45,Self-emp-inc,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,Male,United-States,<=50K
23,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,Male,United-States,<=50K
24,Private,Some-college,Separated,Other-service,Not-in-family,Male,United-States,<=50K
31,Self-emp-not-inc,Some-college,Married-civ-spouse,Craft-repair,Husband,Male,United-States,<=50K
43,Private,HS-grad,Separated,Machine-op-inspct,Not-in-family,Female,United-States,<=50K
20,Federal-gov,11th,Never-married,Other-service,Own-child,Female,United-States,<=50K
55,Private,HS-grad,Married-civ-spouse,Sales,Husband,Male,United-States,>50K
24,Federal-gov,Some-college,Never-married,Armed-Forces,Not-in-family,Male,United-States,<=50K
59,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,Female,United-States,<=50K
49,Federal-gov,7th-8th,Never-married,Other-service,Not-in-family,Male,United-States,<=50K
33,Private,Masters,Married-civ-spouse,Prof-specialty,Wife,Female,United-States,>50K
59,Federal-gov,Bachelors,Divorced,Adm-clerical,Not-in-family,Male,United-States,<=50K
34,Private,Masters,Never-married,Other-service,Not-in-family,Male,United-States,<=50K
20,Private,HS-grad,Never-married,Handlers-cleaners,Own-child,Male,United-States,<=50K
